"Module","LinesCovered","LinesValid","Coverage","TargetPct","SafetyCritical","Status"
"HnVue.Common","116","238","48.74","85","False","FAIL"
"HnVue.Data","424","469","90.41","85","False","PASS"
"HnVue.Security","265","443","59.82","90","True","FAIL"
"HnVue.Dicom","211","390","54.1","85","False","FAIL"
"HnVue.Detector","66","74","89.19","85","False","PASS"
"HnVue.Imaging","579","626","92.49","85","False","PASS"
"HnVue.Dose","100","100","100","90","True","PASS"
"HnVue.Incident","80","84","95.24","90","True","PASS"
"HnVue.Workflow","204","223","91.48","85","False","PASS"
"HnVue.PatientManagement","14","14","100","85","False","PASS"
"HnVue.CDBurning","14","14","100","85","False","PASS"
"HnVue.SystemAdmin","39","62","62.9","85","False","FAIL"
"HnVue.Update","0","175","0","90","True","FAIL"
"HnVue.UI","814","916","88.86","85","False","PASS"
"HnVue.UI.Contracts","7","7","100","85","False","PASS"
"HnVue.UI.ViewModels","403","435","92.64","85","False","PASS"
