"Module","LinesCovered","LinesValid","Coverage","TargetPct","SafetyCritical","Status"
"HnVue.Common","822","5950","13.82","85","False","FAIL"
"HnVue.Data","1988","6566","30.28","85","False","FAIL"
"HnVue.Security","608","2658","22.87","90","True","FAIL"
"HnVue.Dicom","422","3120","13.53","85","False","FAIL"
"HnVue.Detector","180","296","60.81","85","False","FAIL"
"HnVue.Imaging","1158","3756","30.83","85","False","FAIL"
"HnVue.Dose","306","600","51","90","True","FAIL"
"HnVue.Incident","186","504","36.9","90","True","FAIL"
"HnVue.Workflow","600","892","67.26","85","False","FAIL"
"HnVue.PatientManagement","48","56","85.71","85","False","PASS"
"HnVue.CDBurning","54","56","96.43","85","False","PASS"
"HnVue.SystemAdmin","78","124","62.9","85","False","FAIL"
"HnVue.Update","0","350","0","90","True","FAIL"
"HnVue.UI","814","4580","17.77","85","False","FAIL"
"HnVue.UI.Contracts","7","49","14.29","85","False","FAIL"
"HnVue.UI.ViewModels","869","3045","28.54","85","False","FAIL"
